,Name,URL,Condition,Make,Model,Transmission,Drive Type,Mileage,Build Year,Body Type,Car Features,Price
Hyundai Kona Electric 2022,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-kona-electric-2022-5311598
",New,Hyundai,null,Automatic,Other,null,null,4x4-suvs,null,"Br 5,100,000"
[ URGENT] - Nissan Juke - 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/urgent-nissan-juke-2021-5311543
",Used,Nissan,null,Automatic,4 Wheel Drive,"6,500 km",2021,4x4-suvs,null,"Br 3,800,000"
Honda CR.V 2020,"Bole, Addis Ababa","https://www.qefira.com/listings/honda-crv-2020-5311577
",Used,Honda,null,Automatic,Other,"5,900 km",null,4x4-suvs,null,"Br 7,600,000"
Landcruiser V6 VX.R Executive NEW BRAND,"Bole, Addis Ababa","https://www.qefira.com/listings/landcruiser-v6-vxr-executive-new-brand-5311567
",New,Toyota,null,Automatic,Other,null,null,4x4-suvs,null,"Br 26,000,000"
Landcruiser VX.R Executive,"Bole, Addis Ababa","https://www.qefira.com/listings/landcruiser-vxr-executive-5311531
",New,Toyota,null,Automatic,Other,null,null,4x4-suvs,null,"Br 25,500,000"
Hyundai Elantra - 2015/2,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-elantra-20152-5311533
",Used,Hyundai,null,Automatic,2 Wheel Drive,null,2015,sedans-station-wagons,null,"Br 2,800,000"
{VX.R} Toyota - Land Cruiser V6 - 2022,"Bole, Addis Ababa","https://www.qefira.com/listings/vxr-toyota-land-cruiser-v6-2022-5266832
",Used,Toyota,Land Cruiser,Automatic,4 Wheel Drive,"3,000 km",2022,4x4-suvs,null,"Br 21,500,000"
Corina 2 car for sale,"Bole, Addis Ababa","https://www.qefira.com/listings/corina-2-car-for-sale-5266758
",Used,Toyota,null,Manual shift,2 Wheel Drive,"450,000 km",1991,sedans-station-wagons,AM/FM Radio,"Br 365,000"
Urgent❗️-Hyundai Tucson [ Europe Standard 2021 ],"Bole, Addis Ababa","https://www.qefira.com/listings/urgent-hyundai-tucson-europe-standard-2021-5266753
",Used,Hyundai,Tucson,Automatic,4 Wheel Drive,"26,000 km",2021,4x4-suvs,null,"Br 5,450,000"
Vitara car for sale,"Bole, Addis Ababa","https://www.qefira.com/listings/vitara-car-for-sale-5229595
",Used,Suzuki,Address,Manual shift,2 Wheel Drive,"300,000 km",1997,sedans-station-wagons,AM/FM Radio,"Br 560,000"
Cars with full Recipt,"Arada, Addis Ababa","https://www.qefira.com/listings/cars-with-full-recipt-5266737
",New,Chrysler,300C,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,Anti-Lock Brakes,"Br 55,000,000"
Hyundai Velostet 2013,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-velostet-2013-5266632
",Used,Hyundai,null,Automatic,2 Wheel Drive,null,2012,sedans-station-wagons,null,"Br 2,980,000"
[ Full Invoice + Bank]- Mercedes EQC 400 4Matic - 2022,"Bole, Addis Ababa","https://www.qefira.com/listings/full-invoice-bank-mercedes-eqc-400-4matic-2022-5266623
",New,Mercedes,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 14,000,000"
Cars With Full Recipt Jetour 2023 Creta 2023,"Bole, Addis Ababa","https://www.qefira.com/listings/cars-with-full-recipt-jetour-2023-creta-2023-5266512
",Refurbished,Hyundai,null,Automatic,2 Wheel Drive,0 km,2023,4x4-suvs,null,"Br 5,100,000"
FAW T77 URGENT SALE,"Bole, Addis Ababa","https://www.qefira.com/listings/faw-t77-urgent-sale-5266452
",Used,Venturi,null,Automatic,null,"3,500 km",2021,4x4-suvs,null,"Br 3,550,000"
TOYOTA COROLLA,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-corolla-5266440
",Used,Toyota,Corolla,Automatic,null,null,2013,sedans-station-wagons,null,"Br 2,400,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
2021 Model Hyundai Santafi,"Bole, Addis Ababa","https://www.qefira.com/listings/2021-model-hyundai-santafi-5313035
",Used,Hyundai,Santa Fe,Automatic,4 Wheel Drive,"6,000 km",2021,4x4-suvs,"Air Conditioning
Airbags
Alloy Wheels
AM/FM Radio
Anti-Lock Brakes
Armrests
Bullbar
CD Player
Cup Holders
Electric Mirrors
Electric Windows
External Winch
Fog Lights
Front Fog Lamps
Keyless Entry
Power Steering
Rear Camera
Roof Rack","Br 8,300,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
2021 Model Hyundai Santafi,"Bole, Addis Ababa","https://www.qefira.com/listings/2021-model-hyundai-santafi-5313035
",Used,Hyundai,Santa Fe,Automatic,4 Wheel Drive,"6,000 km",2021,4x4-suvs,"Air Conditioning
Airbags
Alloy Wheels
AM/FM Radio
Anti-Lock Brakes
Armrests
Bullbar
CD Player
Cup Holders
Electric Mirrors
Electric Windows
External Winch
Fog Lights
Front Fog Lamps
Keyless Entry
Power Steering
Rear Camera
Roof Rack","Br 8,300,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
2021 Model Hyundai Santafi,"Bole, Addis Ababa","https://www.qefira.com/listings/2021-model-hyundai-santafi-5313035
",Used,Hyundai,Santa Fe,Automatic,4 Wheel Drive,"6,000 km",2021,4x4-suvs,"Air Conditioning
Airbags
Alloy Wheels
AM/FM Radio
Anti-Lock Brakes
Armrests
Bullbar
CD Player
Cup Holders
Electric Mirrors
Electric Windows
External Winch
Fog Lights
Front Fog Lamps
Keyless Entry
Power Steering
Rear Camera
Roof Rack","Br 8,300,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
2021 Model Hyundai Santafi,"Bole, Addis Ababa","https://www.qefira.com/listings/2021-model-hyundai-santafi-5313035
",Used,Hyundai,Santa Fe,Automatic,4 Wheel Drive,"6,000 km",2021,4x4-suvs,"Air Conditioning
Airbags
Alloy Wheels
AM/FM Radio
Anti-Lock Brakes
Armrests
Bullbar
CD Player
Cup Holders
Electric Mirrors
Electric Windows
External Winch
Fog Lights
Front Fog Lamps
Keyless Entry
Power Steering
Rear Camera
Roof Rack","Br 8,300,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
2021 Model Hyundai Santafi,"Bole, Addis Ababa","https://www.qefira.com/listings/2021-model-hyundai-santafi-5313035
",Used,Hyundai,Santa Fe,Automatic,4 Wheel Drive,"6,000 km",2021,4x4-suvs,"Air Conditioning
Airbags
Alloy Wheels
AM/FM Radio
Anti-Lock Brakes
Armrests
Bullbar
CD Player
Cup Holders
Electric Mirrors
Electric Windows
External Winch
Fog Lights
Front Fog Lamps
Keyless Entry
Power Steering
Rear Camera
Roof Rack","Br 8,300,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
2021 Model Hyundai Santafi,"Bole, Addis Ababa","https://www.qefira.com/listings/2021-model-hyundai-santafi-5313035
",Used,Hyundai,Santa Fe,Automatic,4 Wheel Drive,"6,000 km",2021,4x4-suvs,"Air Conditioning
Airbags
Alloy Wheels
AM/FM Radio
Anti-Lock Brakes
Armrests
Bullbar
CD Player
Cup Holders
Electric Mirrors
Electric Windows
External Winch
Fog Lights
Front Fog Lamps
Keyless Entry
Power Steering
Rear Camera
Roof Rack","Br 8,300,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
2021 Model Hyundai Santafi,"Bole, Addis Ababa","https://www.qefira.com/listings/2021-model-hyundai-santafi-5313035
",Used,Hyundai,Santa Fe,Automatic,4 Wheel Drive,"6,000 km",2021,4x4-suvs,"Air Conditioning
Airbags
Alloy Wheels
AM/FM Radio
Anti-Lock Brakes
Armrests
Bullbar
CD Player
Cup Holders
Electric Mirrors
Electric Windows
External Winch
Fog Lights
Front Fog Lamps
Keyless Entry
Power Steering
Rear Camera
Roof Rack","Br 8,300,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
2021 Model Hyundai Santafi,"Bole, Addis Ababa","https://www.qefira.com/listings/2021-model-hyundai-santafi-5313035
",Used,Hyundai,Santa Fe,Automatic,4 Wheel Drive,"6,000 km",2021,4x4-suvs,"Air Conditioning
Airbags
Alloy Wheels
AM/FM Radio
Anti-Lock Brakes
Armrests
Bullbar
CD Player
Cup Holders
Electric Mirrors
Electric Windows
External Winch
Fog Lights
Front Fog Lamps
Keyless Entry
Power Steering
Rear Camera
Roof Rack","Br 8,300,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
2021 Model Hyundai Santafi,"Bole, Addis Ababa","https://www.qefira.com/listings/2021-model-hyundai-santafi-5313035
",Used,Hyundai,Santa Fe,Automatic,4 Wheel Drive,"6,000 km",2021,4x4-suvs,"Air Conditioning
Airbags
Alloy Wheels
AM/FM Radio
Anti-Lock Brakes
Armrests
Bullbar
CD Player
Cup Holders
Electric Mirrors
Electric Windows
External Winch
Fog Lights
Front Fog Lamps
Keyless Entry
Power Steering
Rear Camera
Roof Rack","Br 8,300,000"
